route_id,source,destination,vehicle_position,timestamp,available_seats,next_stop,day,time_of_day
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,25,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,21,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,28,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,19,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,28,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,28,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,19,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,27,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,25,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,24,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,19,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,24,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,19,Lodhi Garden 1,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,20,Lajpat Nagar,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,28,Lajpat Nagar,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,26,Lajpat Nagar,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,22,Lajpat Nagar,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,20,Lajpat Nagar,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,21,Lajpat Nagar,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,26,Lajpat Nagar,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,29,Lajpat Nagar,Day 1,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,46,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,42,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,47,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,45,Lodhi Garden 1,Day 1,Morning
